"  User:  Javier Ressogola    Last Refresh:  Saturday, November 8, 2025, 0:00:00",,,,,,,
OrderID,CustomerID,CustomerName,ProductID,Quantity,OrderDate,RequestedDeliveryDate,Comments
ORD1100000,CUST2824,Customer_13,PROD859,9,2025-11-02,2025/12/01,Pay in 90 days
ORD1100001,CUST2424,Customer_303,PROD532,2,2025-11-01,2025/11/13,Hold until payment confirmed
ORD1100002,CUST9928,Customer_215,PROD325,15,05/11/2025,2025/12/11,
ORD1100003,CUST7924,Customer_175,PROD384,5,02/11/2025,2025/12/16,Gift packaging requested
ORD1100004,CUST5333,Customer_414,PROD144,15,05/11/2025,2025/11/21,
ORD1100005,CUST6925,Customer_296,PROD296,3,2025-11-01,2026/01/25,Urgent delivery required
ORD1100006,CUST2654,Customer_195,PROD384,15,06/11/2025,12-23-2025,Urgent delivery required
ORD1100007,CUST2169,Customer_312,PROD750,6,05/11/2025,2025/12/07,Gift packaging requested
ORD1100008,CUST4598,Customer_351,PROD432,2,02/11/2025,11-07-2025,
ORD1100009,CUST6155,Customer_109,PROD771,16,04/11/2025,2026/01/26,Urgent delivery required
ORD1100010,CUST9830,Customer_135,PROD864,19,2025-11-04,01-18-2026,Inform customer once order is sent
ORD1100011,CUST9085,Customer_47,PROD873,2,2025-11-07,11-22-2025,Inform customer once order is sent
ORD1100012,CUST2040,Customer_198,PROD490,20,2025-11-04,01-11-2026,Hold until payment confirmed
ORD1100013,CUST2876,Customer_350,PROD649,9,07/11/2025,01-29-2026,Urgent delivery required
ORD1100014,CUST5315,Customer_498,PROD612,6,05/11/2025,2025/11/19,
ORD1100015,CUST4258,Customer_79,PROD482,6,2025-11-05,01-12-2026,
ORD1100016,CUST2832,Customer_476,PROD471,10,2025-11-02,11-10-2025,Hold until payment confirmed
ORD1100017,CUST8962,Customer_418,PROD170,18,2025-11-07,11-24-2025,Gift packaging requested
ORD1100018,CUST9645,Customer_447,PROD721,14,2025-11-02,2026/01/11,
ORD1100019,CUST7537,Customer_344,PROD765,12,04/11/2025,01-10-2026,Inform customer once order is sent
ORD1100020,CUST4770,Customer_302,PROD325,1,2025-11-01,2026/01/21,Pay in 90 days
ORD1100021,CUST2160,Customer_264,PROD343,9,2025-11-06,2026/01/08,Inform customer once order is sent
ORD1100022,CUST8744,Customer_125,PROD903,16,2025-11-07,12-30-2025,Pay in 90 days
ORD1100023,CUST7735,Customer_240,PROD984,2,06/11/2025,01-29-2026,
