"  User:  Javier Ressogola    Last Refresh:  Saturday, November 1, 2025, 0:00:00",,,,,,,
OrderID,CustomerID,CustomerName,ProductID,Quantity,OrderDate,RequestedDeliveryDate,Comments
O172000,C0301,Customer 301,P0786,19,10-08-2025,10-15-2025,Pay in 90 days
O172001,C0386,Customer 386,P0848,3,10-19-2025,20/10/2025,
O172002,C0903,Customer 903,P0721,5,05/10/2025,2025-10-06,Pay in 90 days
O172003,C0034,Customer 34,P0465,1,10-13-2025,2025-10-16,Inform customer once order is sent
O172004,C0025,Customer 25,P0504,15,10-16-2025,18/10/2025,Inform customer once order is sent
O172005,C0303,Customer 303,P0598,11,2025-10-17,2025-10-25,Pay in 90 days
O172006,C0395,Customer 395,P0430,18,20/10/2025,28/10/2025,Pay in 90 days
O172007,C0268,Customer 268,P0438,3,10-16-2025,10-20-2025,Pay in 90 days
O172008,C0152,Customer 152,P0389,7,20/10/2025,27/10/2025,Inform customer once order is sent
O172009,C0162,Customer 162,P0108,18,2025-10-23,10-25-2025,
O172010,C0563,Customer 563,P0551,6,2025-10-09,13/10/2025,Inform customer once order is sent
O172011,C0204,Customer 204,P0430,20,06/10/2025,2025-10-11,Pay in 90 days
O172012,C0458,Customer 458,P0515,16,10-18-2025,10-26-2025,Inform customer once order is sent
O172013,C0770,Customer 770,P0339,16,2025-10-14,10-15-2025,Pay in 90 days
O172014,C0003,Customer 3,P0757,6,10-20-2025,2025-10-23,Inform customer once order is sent
O172015,C0871,Customer 871,P0875,7,22/10/2025,2025-10-27,
O172016,C0797,Customer 797,P0250,17,10-20-2025,2025-10-28,Inform customer once order is sent
O172017,C0855,Customer 855,P0701,18,10-27-2025,04/11/2025,
O172018,C0996,Customer 996,P0705,1,09/10/2025,10-10-2025,
O172019,C0204,Customer 204,P0790,16,2025-10-18,25/10/2025,Inform customer once order is sent
O172020,C0851,Customer 851,P0279,15,2025-10-06,10/10/2025,
O172021,C0939,Customer 939,P0203,14,2025-10-24,2025-11-02,Pay in 90 days
O172022,C0462,Customer 462,P0109,11,01/10/2025,2025-10-11,Pay in 90 days
O172023,C0535,Customer 535,P0653,3,10-12-2025,2025-10-16,Inform customer once order is sent
O172024,C0742,Customer 742,P0141,14,05/10/2025,09/10/2025,
O172025,C0522,Customer 522,P0503,17,10-17-2025,24/10/2025,Pay in 90 days
O172026,C0262,Customer 262,P0865,15,10-15-2025,2025-10-20,
O172027,C0873,Customer 873,P0865,11,2025-10-15,2025-10-22,Inform customer once order is sent
O172028,C0456,Customer 456,P0295,19,10-20-2025,2025-10-25,Inform customer once order is sent
O172029,C0902,Customer 902,P0873,16,2025-10-17,2025-10-25,
O172030,C0596,Customer 596,P0376,1,04/10/2025,2025-10-13,Pay in 90 days
O172031,C0553,Customer 553,P0413,11,05/10/2025,14/10/2025,
O172032,C0623,Customer 623,P0078,20,21/10/2025,25/10/2025,Pay in 90 days
O172033,C0153,Customer 153,P0409,5,2025-10-20,10-23-2025,Inform customer once order is sent
O172034,C0219,Customer 219,P0577,19,2025-10-28,2025-11-07,
O172035,C0479,Customer 479,P0382,3,23/10/2025,10-31-2025,
O172036,C0224,Customer 224,P0409,2,10-14-2025,2025-10-19,Pay in 90 days
O172037,C0473,Customer 473,P0185,18,2025-10-11,2025-10-18,Inform customer once order is sent
O172038,C0772,Customer 772,P0110,13,13/10/2025,2025-10-17,
O172039,C0219,Customer 219,P0178,16,17/10/2025,2025-10-18,Pay in 90 days
O172040,C0887,Customer 887,P0045,1,2025-10-24,10-27-2025,Pay in 90 days
O172041,C0686,Customer 686,P0319,15,10-19-2025,20/10/2025,Pay in 90 days
O172042,C0404,Customer 404,P0580,1,2025-10-12,10-14-2025,Pay in 90 days
